county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
39035,Cuyahoga County,OH,17410,"Cleveland, OH",109,76,0.6972477064220184,214.0,0.2084302752293578,0.2887828947368421,0.023375757575757567,0.26540713716108455,-0.03735399293577981,-0.012279223684210524,-0.09510194636363635,0.08282272267942582
27053,Hennepin County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",109,74,0.6788990825688074,214.0,-0.041907247706422006,0.004040675675675676,-0.1390542857142857,0.1430949613899614,-0.12901018348623855,-0.11703054054054056,-0.1543385714285714,0.03730803088803085
12086,Miami-Dade County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",109,74,0.6788990825688074,205.0,-0.24705220183486237,-0.2326958108108108,-0.2774057142857143,0.0447099034749035,-0.016907803211009174,0.012758797297297297,-0.07963147285714285,0.09239027015444015
55079,Milwaukee County,WI,33340,"Milwaukee-Waukesha, WI",109,70,0.6422018348623854,203.0,-0.11124192660550461,-0.05797057142857145,-0.20685717948717952,0.14888660805860807,-0.011466908256880733,0.030793557142857145,-0.08731902564102564,0.11811258278388279
06075,San Francisco County,CA,41860,"San Francisco-Oakland-Fremont, CA",109,65,0.5963302752293578,202.0,-0.6124201834862385,-0.610982153846154,-0.6145445454545454,0.0035623916083914464,-0.23234514678899085,-0.19882676923076925,-0.2818609318181818,0.08303416258741253
42003,Allegheny County,PA,38300,"Pittsburgh, PA",109,67,0.6146788990825688,200.0,-0.15764401834862385,-0.11641253731343283,-0.22341804761904763,0.1070055103056148,-0.09172253211009172,-0.07432268656716418,-0.11947942857142857,0.045156742004264394
06059,Orange County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",109,58,0.5321100917431193,185.0,-0.18185669724770648,-0.17041,-0.19487450980392151,0.024464509803921508,-0.09368402293577982,-0.07932003448275862,-0.1100195392156863,0.03069950473292768
29510,St. Louis city,MO,41180,"St. Louis, MO-IL",109,57,0.5229357798165137,184.0,0.11675894495412842,0.2923741228070175,-0.07574230769230768,0.3681164304993252,-0.02463109174311927,0.030793473684210527,-0.08538494230769231,0.11617841599190283
48113,Dallas County,TX,19100,"Dallas-Fort Worth-Arlington, TX",109,49,0.44954128440366975,151.0,-0.09576943119266058,-0.08093122448979592,-0.1078873,0.026956075510204083,-0.02670190275229358,-0.014239204081632654,-0.036879773333333345,0.02264056925170069
53033,King County,WA,42660,"Seattle-Tacoma-Bellevue, WA",109,51,0.46788990825688076,148.0,-0.2463480733944954,-0.23206470588235295,-0.2589075862068966,0.026842880324543628,-0.1498638532110092,-0.14459215686274512,-0.15449931034482758,0.00990715348208246
48439,Tarrant County,TX,19100,"Dallas-Fort Worth-Arlington, TX",109,43,0.3944954128440367,144.0,0.03434871559633028,0.08414418604651162,0.0019062121212121243,0.0822379739252995,-0.05720710825688074,-0.04981627906976745,-0.062022345454545456,0.01220606638477801
12057,Hillsborough County,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",109,61,0.5596330275229358,137.0,-0.09146910091743118,-0.08648013114754098,-0.09780925,0.01132911885245902,-0.011743610458715597,0.004359475409836067,-0.03220794875,0.03656742415983607
36029,Erie County,NY,15380,"Buffalo-Cheektowaga, NY",109,56,0.5137614678899083,136.0,-0.3018165137614679,-0.26271785714285717,-0.34312830188679233,0.08041044474393516,-0.03639440366972477,0.024790535714285713,-0.10104264150943396,0.12583317722371967
