cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
47700,"Warsaw, IN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
48020,"Watertown-Fort Atkinson, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
48580,"Whitewater-Elkhorn, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
49220,"Wisconsin Rapids-Marshfield, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
49780,"Zanesville, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
13020,"Bay City, MI",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
16020,"Cape Girardeau, MO-IL",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
18020,"Columbus, IN",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
19500,"Decatur, IL",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
20220,"Dubuque, IA",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
22540,"Fond du Lac, WI",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
24220,"Grand Forks, ND-MN",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
24260,"Grand Island, NE",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
29020,"Kokomo, IN",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
30620,"Lima, OH",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
31860,"Mankato, MN",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
33220,"Midland, MI",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
33500,"Minot, ND",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
37140,"Paducah, KY-IL",midwest|large|small_metro_proxy|economic_unknown|svi_unknown,large|small_metro_proxy|service_unknown|svi_unknown,1311484,14,2,True,False
10100,"Aberdeen, SD",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
10820,"Alexandria, MN",midwest|medium|micro_proxy|economic_unknown|svi_unknown,medium|micro_proxy|service_unknown|svi_unknown,3196440,71,1,True,False
